ORG_ID,ORG_NAME,ZCTA,Distance,TravelTime,DANCENYC_Budget_Size,DANCENYC_Discipline,NYC_MARKER,Org_ADDRESS,Org_Zip_Code,Org_City,Org_State,lng,lat,ZCTA_lng,ZCTA_lat
5983,"Gina Gibney Dance, Inc.",11226,7.89,43,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.95664878,40.64644801
5983,"Gina Gibney Dance, Inc.",11226,7.89,43,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.95664878,40.64644801
5983,"Gina Gibney Dance, Inc.",11231,5.59,33,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-74.00468013,40.67750611
5983,"Gina Gibney Dance, Inc.",11237,4.97,25,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.92095455,40.70419669
5983,"Gina Gibney Dance, Inc.",11238,6.15,33,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.96380438,40.67917074
5983,"Gina Gibney Dance, Inc.",11355,11.31,53,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.82103101,40.75145235
6044,"Groove With Me, Inc.",10469,7.39,38,2,Educational,Manhattan,186 E. 123rd St. 2nd Fl  New York,10035-2211,Manhattan,NY,-73.93718253,40.80247297,-73.84821764,40.86856974
6044,"Groove With Me, Inc.",11231,11.99,71,2,Educational,Manhattan,186 E. 123rd St. 2nd Fl  New York,10035-2211,Manhattan,NY,-73.93718253,40.80247297,-74.00468013,40.67750611
6159,Ballet Hispanico of New York,10037,3.23,22,5,Dance Maker,Manhattan,167 West 89 Street  New York,10024-1901,Manhattan,NY,-73.97263851,40.78930606,-73.93728496,40.81298444
6159,Ballet Hispanico of New York,11368,10.94,54,5,Dance Maker,Manhattan,167 West 89 Street  New York,10024-1901,Manhattan,NY,-73.97263851,40.78930606,-73.85281119,40.74939667
6648,Martha Graham Center of Contemporary Dance,10006,2.55,24,4,Dance Maker,Manhattan,55 Bethune Street  New York,10014-2010,Manhattan,NY,-74.00844954,40.73687184,-74.01295375,40.70961444
6648,Martha Graham Center of Contemporary Dance,10014,0.37,7,4,Dance Maker,Manhattan,55 Bethune Street  New York,10014-2010,Manhattan,NY,-74.00844954,40.73687184,-74.00703305,40.73369768
6648,Martha Graham Center of Contemporary Dance,10022,3.54,28,4,Dance Maker,Manhattan,55 Bethune Street  New York,10014-2010,Manhattan,NY,-74.00844954,40.73687184,-73.96781711,40.75855479
6648,Martha Graham Center of Contemporary Dance,10024,5.10,25,4,Dance Maker,Manhattan,55 Bethune Street  New York,10014-2010,Manhattan,NY,-74.00844954,40.73687184,-73.97485393,40.79219651
6648,Martha Graham Center of Contemporary Dance,10025,5.28,33,4,Dance Maker,Manhattan,55 Bethune Street  New York,10014-2010,Manhattan,NY,-74.00844954,40.73687184,-73.96662265,40.79860089
6648,Martha Graham Center of Contemporary Dance,10026,6.65,31,4,Dance Maker,Manhattan,55 Bethune Street  New York,10014-2010,Manhattan,NY,-74.00844954,40.73687184,-73.95268139,40.80238049
