ORG_ID,ORG_NAME,ZCTA,Distance,TravelTime,DANCENYC_Budget_Size,DANCENYC_Discipline,NYC_MARKER,Org_ADDRESS,Org_Zip_Code,Org_City,Org_State,lng,lat,ZCTA_lng,ZCTA_lat,orgid,orgname,avg_td,med_td,avg_tt,med_tt
4901,Opus Dance Theatre & Community Services Inc.,10035,1.680000000000000,25,2,Educational,Manhattan,1486 5th Avenue Suite 2S New York,10035-2703,Manhattan,NY,-73.944952670000006,40.802889409999999,-73.929730930000005,40.795652250000003,4901,Opus Dance Theatre & Community Services Inc.,1.680000000000000,1.680000000000000,25.000000000000000,25.000000000000000
4941,Battery Dance Corporation,10017,3.170000000000000,22,3,Dance Maker,Manhattan,380 Broadway 5th Fl New York,10013-6027,Manhattan,NY,-74.003647999999998,40.720024000000002,-73.972416890000005,40.752346770000003,4941,Battery Dance Corporation,3.170000000000000,3.170000000000000,22.000000000000000,22.000000000000000
4945,"Ice Theatre of New York, Inc.",10011,0.060000000000000,1,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999331999999995,40.741790000000002,-74.000594010000000,40.742001739999999,4945,"Ice Theatre of New York, Inc.",4.980000000000000,4.780000000000000,24.600000000000001,29.000000000000000
4945,"Ice Theatre of New York, Inc.",10019,2.420000000000000,18,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999331999999995,40.741790000000002,-73.987067460000006,40.765793019999997,4945,"Ice Theatre of New York, Inc.",4.980000000000000,4.780000000000000,24.600000000000001,29.000000000000000
4945,"Ice Theatre of New York, Inc.",10030,6.770000000000000,34,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999331999999995,40.741790000000002,-73.942856370000001,40.818266559999998,4945,"Ice Theatre of New York, Inc.",4.980000000000000,4.780000000000000,24.600000000000001,29.000000000000000
4945,"Ice Theatre of New York, Inc.",10075,4.780000000000000,29,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999331999999995,40.741790000000002,-73.956208079999996,40.773356530000001,4945,"Ice Theatre of New York, Inc.",4.980000000000000,4.780000000000000,24.600000000000001,29.000000000000000
4945,"Ice Theatre of New York, Inc.",11375,10.869999999999999,41,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999331999999995,40.741790000000002,-73.846151070000005,40.720934040000003,4945,"Ice Theatre of New York, Inc.",4.980000000000000,4.780000000000000,24.600000000000001,29.000000000000000
4960,Paul Taylor Dance Foundation,10002,0.310000000000000,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.986257969999997,40.715761909999998,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10002,0.310000000000000,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.986257969999997,40.715761909999998,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10002,0.310000000000000,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.986257969999997,40.715761909999998,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10010,2.490000000000000,35,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.982231609999999,40.739044860000000,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10011,3.360000000000000,28,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-74.000594010000000,40.742001739999999,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10011,3.360000000000000,28,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-74.000594010000000,40.742001739999999,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10025,7.950000000000000,47,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.966622650000005,40.798600890000003,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10040,12.180000000000000,61,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.930519640000000,40.858297620000002,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,10044,6.710000000000000,42,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.949933040000005,40.762050500000001,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
4960,Paul Taylor Dance Foundation,11415,11.310000000000000,64,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.980730690000001,40.714111680000002,-73.828211640000006,40.707916990000001,4960,Paul Taylor Dance Foundation,4.830000000000000,3.360000000000000,32.299999999999997,31.500000000000000
